YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKDAY,18,TRAIN,NE16/STC,67438,147501
2024-05,WEEKDAY,12,TRAIN,TE3,10914,9786
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,TE3,5663,3728
2024-05,WEEKENDS/HOLIDAY,5,TRAIN,EW15,202,37
2024-05,WEEKDAY,5,TRAIN,EW15,961,616
2024-05,WEEKDAY,18,TRAIN,NS7,39262,50117
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,NS7,19513,14631
2024-05,WEEKDAY,0,TRAIN,NS15,531,1357
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NS15,204,608
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,NS15,6275,5121
2024-05,WEEKDAY,15,TRAIN,NS15,35199,14141
2024-05,WEEKDAY,22,TRAIN,DT7,1589,2981
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,DT7,863,1239
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,PW4,3402,3553
2024-05,WEEKDAY,15,TRAIN,PW4,4257,5832
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1596,1453
2024-05,WEEKDAY,22,TRAIN,TE4,3001,3403
2024-05,WEEKDAY,15,TRAIN,EW23,45550,43911
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,EW23,23620,24162
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,NE8,31589,19976
2024-05,WEEKDAY,20,TRAIN,NE8,39267,40306
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,EW33,2522,3300
2024-05,WEEKDAY,19,TRAIN,EW33,6966,8620
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,TE16,2469,2161
2024-05,WEEKDAY,8,TRAIN,TE16,13102,14379
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1297,805
2024-05,WEEKDAY,6,TRAIN,CC16,7724,4090
2024-05,WEEKDAY,13,TRAIN,TE4,4206,3545
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2785,2208
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1739,778
2024-05,WEEKDAY,11,TRAIN,BP12,2687,1077
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,28579,27130
2024-05,WEEKDAY,13,TRAIN,NE17/PTC,43200,43567
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,BP5,707,494
2024-05,WEEKDAY,7,TRAIN,BP5,6354,3208
2024-05,WEEKDAY,8,TRAIN,SW6,11887,3090
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2242,569
2024-05,WEEKDAY,16,TRAIN,EW4,17819,14998
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,EW4,7864,7566
2024-05,WEEKDAY,14,TRAIN,CC2,3664,4887
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2285,2993
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,NE14,19378,11562
2024-05,WEEKDAY,12,TRAIN,NE14,29969,19948
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,37253,18344
2024-05,WEEKDAY,20,TRAIN,NE4/DT19,82349,36755
2024-05,WEEKDAY,0,TRAIN,SE5,57,350
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,SE5,35,209
2024-05,WEEKENDS/HOLIDAY,23,TRAIN,EW6,749,2853
2024-05,WEEKDAY,23,TRAIN,EW6,1388,6600
